date;description;weigth
13.02.17;Депутаты Мосгордумы предложили снести все оставшиеся в Москве пятиэтажки ;1
16.02.17;Общественная палата столицы согласилась с этим предложением ;1
21.02.17;На встрече Владимира Путина и Сергея Собянина объявлено о запуске новой программы по сносу пятиэтажек;5
10.03.17;В Госдуму внесен законопроект о новой программе реновации ;10
